ca	[1]	[10]	2	2565
ca	[1]	[1]	2	2002
ca	[1]	[48]	2	1766
ca	[1]	[37]	2	1623
ca	[1]	[45]	2	1372
ca	[1]	[32]	2	1338
ca	[1]	[41]	2	1267
na	[1]	[1]	2	1253
vESampAyanaH	[1;16]	[5]	2	1064
eva	[1]	[22]	2	1062
ca	[1]	[17]	2	1035
ca	[1]	[42]	2	854
ca	[1]	[34]	2	825
ca	[1]	[36]	2	755
na	[1]	[48]	2	731
ca	[1]	[40]	2	730
mahA	[2]	[39]	1	685
ca	[1]	[46]	2	673
waWA	[2]	[10]	2	666
na	[1]	[22]	2	650
eva	[1]	[48]	2	645
yuXiRTiraH	[1;16]	[5]	2	631
BIRmaH	[1;16]	[5]	2	594
eva	[1]	[32]	2	586
wu	[5]	[32]	2	562
eva	[1]	[37]	2	540
wu	[5]	[48]	2	535
saFjayaH	[1;16]	[5]	2	530
evam	[41]	[5]	2	523
mArkaNdeyaH	[1;16]	[5]	2	513
ca	[1]	[43]	2	507
sa	[1]	[32]	2	502
eva	[1]	[1]	2	499
wawaH	[1;16]	[32]	2	484
wu	[5]	[45]	2	480
na	[1]	[32]	2	477
na	[1]	[45]	2	466
wu	[5]	[37]	2	447
ca	[1]	[5]	2	431
eva	[1]	[45]	2	431
ca	[1]	[39]	2	427
ca	[1]	[2]	2	427
mahA	[2]	[43]	1	417
wu	[5]	[17]	2	409
na	[1]	[37]	2	390
iva	[1]	[1]	2	386
ca	[1]	[19]	2	382
eva	[1]	[17]	2	368
na	[1]	[10]	2	363
iwi	[3]	[5]	2	362
saH	[1;16]	[1]	2	361
sa	[1]	[45]	2	348
eva	[1]	[41]	2	345
wawaH	[1;16]	[48]	2	334
iwi	[3]	[1]	2	333
wu	[5]	[42]	2	325
yaWA	[2]	[5]	2	324
wu	[5]	[34]	2	321
parASaraH	[1;16]	[5]	2	318
ca	[1]	[3]	2	314
hi	[3]	[1]	2	312
ca	[1]	[24]	2	307
iwi	[3]	[10]	2	306
mahA	[2]	[7]	1	300
wu	[5]	[41]	2	295
wawra	[1]	[32]	2	295
wawaH	[1;16]	[37]	2	294
waWA	[2]	[22]	2	293
waWA	[2]	[1]	2	286
waw	[32]	[45]	2	286
a	[1]	[22]	1	283
eva	[1]	[34]	2	281
waw	[32]	[48]	2	277
wawaH	[1;16]	[1]	2	274
Barawa	[1]	[7]	1	268
SrI	[4]	[41]	1	267
mahA	[2]	[32]	1	266
sa	[1]	[37]	2	266
iwi	[3]	[49]	2	264
wu	[5]	[1]	2	260
iwi	[3]	[48]	2	258
na	[1]	[17]	2	257
wu	[5]	[43]	2	257
a	[1]	[17]	1	253
hi	[3]	[48]	2	251
ca	[1]	[35]	2	250
mahA	[2]	[3]	1	249
awra	[1]	[48]	2	246
na	[1]	[49]	2	246
eva	[1]	[36]	2	245
a	[1]	[37]	1	245
wawaH	[1;16]	[17]	2	244
eva	[1]	[49]	2	243
na	[1]	[34]	2	241
wu	[5]	[36]	2	239
a	[1]	[48]	1	235
na	[1]	[40]	2	234
iwi	[3]	[45]	2	232
sarva	[1]	[37]	1	231
na	[1]	[46]	2	231
iwi	[3]	[37]	2	226
evam	[41]	[45]	2	226
eva	[1]	[46]	2	225
yaH	[1;16]	[32]	2	225
sarva	[1]	[44]	1	225
xeva	[1]	[34]	1	225
sa	[1]	[22]	2	223
ca	[1]	[22]	2	222
ca	[1]	[49]	2	221
waw	[32]	[32]	2	218
a	[1]	[46]	1	217
wawaH	[1;16]	[34]	2	216
sa	[1]	[41]	2	213
wawra	[1]	[48]	2	211
sa	[1]	[43]	2	209
ye	[10]	[22]	2	208
sarva	[1]	[48]	1	207
waw	[32]	[1]	2	205
wasya	[1]	[37]	2	203
sa	[1]	[48]	2	202
uvAca	[1]	[40]	2	201
iva	[1]	[37]	2	200
eva	[1]	[42]	2	198
wasya	[1]	[32]	2	197
wawra	[1]	[10]	2	197
a	[1]	[35]	1	195
we	[10]	[32]	2	193
waw	[32]	[37]	2	192
Xarma	[1]	[2]	1	192
BagavAn	[36]	[35]	2	190
wu	[5]	[46]	2	190
sarva	[1]	[45]	1	189
eva	[1]	[40]	2	189
wu	[5]	[40]	2	188
wam	[41]	[34]	2	188
waw	[32]	[5]	2	186
mahA	[2]	[41]	1	186
ha	[1]	[48]	2	186
sa	[1]	[17]	2	186
na	[1]	[41]	2	185
sarva	[1]	[17]	1	185
ca	[1]	[44]	2	184
sarva	[1]	[34]	1	183
mahA	[2]	[1]	1	181
sma	[1]	[2]	2	181
saH	[1;16]	[10]	2	180
rAja	[1]	[3]	1	179
na	[1]	[24]	2	178
iva	[1]	[2]	2	177
waw	[32]	[22]	2	175
sarva	[1]	[1]	1	175
yaH	[1;16]	[48]	2	175
brahmA	[2]	[5]	2	174
waw	[32]	[1]	1	173
a	[1]	[45]	1	173
iwi	[3]	[46]	2	171
iwi	[3]	[32]	2	170
wasya	[1]	[45]	2	169
waw	[32]	[17]	2	169
eva	[1]	[19]	2	168
nara	[1]	[1]	1	168
mahA	[2]	[45]	1	168
viSAm	[41]	[37]	2	168
eva	[1]	[43]	2	167
waw	[32]	[37]	1	167
qRayaH	[1;16]	[6]	2	167
aWa	[1]	[48]	2	166
iva	[1]	[48]	2	166
hi	[3]	[37]	2	166
hi	[3]	[32]	2	165
evam	[41]	[48]	2	165
sawya	[1]	[45]	1	162
vacanam	[41]	[46]	2	162
waw	[32]	[10]	2	160
sa	[1]	[34]	2	159
iva	[1]	[41]	2	159
wawaH	[1;16]	[46]	2	159
waWA	[2]	[48]	2	158
ISvaraH	[1;16]	[5]	2	158
yaH	[1;16]	[1]	2	156
Xarma	[1]	[45]	1	156
sarva	[1]	[46]	1	155
sa	[1]	[49]	2	154
a	[1]	[41]	1	154
wasya	[1]	[48]	2	153
hi	[3]	[45]	2	152
wawra	[1]	[1]	2	152
sarva	[1]	[43]	1	152
wawaH	[1;16]	[45]	2	152
vE	[11]	[48]	2	152
aWa	[1]	[45]	1	152
mahA	[2]	[37]	1	151
wawra	[1]	[45]	2	151
ukwaH	[1;16]	[32]	2	151
mEwreyaH	[1;16]	[5]	2	151
Sara	[1]	[45]	1	151
jana	[1]	[1]	1	151
evam	[41]	[10]	2	150
we	[10]	[48]	2	149
waw	[32]	[17]	1	148
eva	[1]	[2]	2	146
iwi	[3]	[22]	2	146
aWa	[1]	[45]	2	145
brahma	[1]	[45]	1	145
na	[1]	[5]	2	144
wawra	[1]	[37]	2	143
hi	[3]	[10]	2	143
vA	[2]	[1]	2	142
yaWA	[2]	[45]	2	140
vA	[2]	[37]	2	140
wasya	[1]	[1]	2	140
ixam	[41]	[45]	2	140
Xarma	[1]	[24]	1	140
vyAsaH	[1;16]	[5]	2	140
Xarma	[1]	[1]	1	139
nAraxaH	[1;16]	[5]	2	139
waWA	[2]	[37]	2	138
sa	[1]	[19]	2	137
waWA	[2]	[45]	2	136
we	[10]	[45]	2	136
na	[1]	[2]	2	136
na	[1]	[42]	2	136
a	[1]	[49]	1	136
waWA	[2]	[17]	2	134
iwi	[3]	[2]	2	132
iva	[1]	[5]	2	132
waw	[32]	[46]	2	132
sahasra	[1]	[1]	1	131
vacaH	[1;16]	[46]	2	131
yaH	[1;16]	[45]	2	130
yaw	[32]	[22]	2	130
a	[1]	[36]	1	130
na	[1]	[3]	2	129
vA	[2]	[42]	2	129
sa	[1]	[42]	2	129
wawra	[1]	[34]	2	128
vA	[2]	[48]	2	128
waWA	[2]	[34]	2	128
mahA	[2]	[42]	1	128
ixam	[41]	[1]	2	128
sarva	[1]	[35]	1	127
wawaH	[1;16]	[19]	2	127
a	[1]	[40]	1	127
saha	[1]	[34]	1	127
yaH	[1;16]	[22]	2	126
wawra	[1]	[46]	2	125
a	[1]	[34]	1	125
waWA	[2]	[32]	2	124
yaw	[32]	[32]	2	124
nara	[1]	[45]	1	124
janamejayaH	[1;16]	[5]	2	124
iva	[1]	[34]	2	123
wasya	[1]	[41]	2	123
Bavanwi	[3]	[22]	2	122
wam	[41]	[45]	2	122
iwi	[3]	[17]	2	122
waWA	[2]	[3]	2	121
yaWA	[2]	[48]	2	121
sarva	[1]	[2]	1	121
hi	[3]	[34]	2	121
vexa	[1]	[45]	1	121
na	[1]	[39]	2	121
vE	[11]	[37]	2	121
arjunaH	[1;16]	[5]	2	121
mahI	[4]	[37]	1	120
sa	[1]	[40]	2	119
waw	[32]	[48]	1	119
waWA	[2]	[49]	2	119
brAhmaNaH	[1;16]	[5]	2	119
sa	[1]	[36]	2	119
yaH	[1;16]	[10]	2	119
wu	[5]	[19]	2	118
wri	[3]	[34]	1	118
varRa	[1]	[48]	1	117
yaH	[1;16]	[37]	2	116
wam	[41]	[1]	2	116
na	[1]	[19]	2	116
anyaw	[32]	[22]	2	115
mahA	[2]	[17]	1	115
wam	[41]	[32]	2	115
yaH	[1;16]	[17]	2	114
iwi	[3]	[41]	2	114
vA	[2]	[36]	2	114
we	[10]	[37]	2	113
puruRa	[1]	[45]	1	113
vA	[2]	[45]	2	112
wasya	[1]	[17]	2	112
wawra	[1]	[17]	2	112
sarve	[10]	[32]	2	111
mahA	[2]	[34]	1	111
wam	[41]	[5]	2	111
wasya	[1]	[34]	2	110
Xarma	[1]	[37]	1	110
iva	[1]	[45]	2	110
yaw	[32]	[1]	2	110
vE	[11]	[36]	2	110
xeva	[1]	[19]	1	110
yayAwiH	[3;16]	[5]	2	110
wri	[3]	[45]	1	109
eva	[1]	[24]	2	109
evam	[41]	[37]	2	109
eva	[1]	[3]	2	109
vacanam	[41]	[1]	2	108
sarve	[10]	[48]	2	107
hi	[3]	[17]	2	106
wawaH	[1;16]	[22]	2	106
aWa	[1]	[32]	2	106
xeva	[1]	[1]	1	106
xvi	[3]	[24]	1	106
yaWA	[2]	[37]	2	105
eva	[1]	[39]	2	105
na	[1]	[43]	2	105
yaWA	[2]	[1]	2	104
waw	[32]	[45]	1	104
waw	[32]	[42]	2	104
iva	[1]	[17]	2	104
wasmin	[36]	[32]	2	104
yaw	[32]	[37]	2	104
AhuH	[5;16]	[2]	2	103
sarve	[10]	[37]	2	103
SruwvA	[2]	[32]	2	103
evam	[41]	[1]	2	102
eva	[1]	[5]	2	102
xqRtvA	[2]	[37]	2	102
wawra	[1]	[41]	2	101
wena	[1]	[10]	2	101
vA	[2]	[17]	2	100
asya	[1]	[37]	2	100
wri	[3]	[37]	1	100
iwi	[3]	[36]	2	100
waw	[32]	[34]	2	100
wam	[41]	[2]	2	100
wu	[5]	[10]	2	99
wawaH	[1;16]	[41]	2	99
waw	[32]	[2]	2	99
sA	[2]	[32]	2	99
kAla	[1]	[1]	1	98
agni	[3]	[48]	1	98
Awreya	[1]	[2]	1	98
AxayaH	[1;16]	[41]	2	98
puruRa	[1]	[7]	1	98
wam	[41]	[37]	2	98
vinA	[2]	[1]	1	98
xvi	[3]	[19]	1	98
ewaw	[32]	[48]	2	97
waWA	[2]	[2]	2	97
vE	[11]	[34]	2	97
yaxi	[3]	[45]	2	97
sa	[1]	[46]	2	97
aWa	[1]	[37]	2	96
rAja	[1]	[37]	1	96
Aha	[1]	[40]	2	96
asya	[1]	[48]	2	96
waxA	[2]	[32]	2	96
na	[1]	[36]	2	96
wasya	[1]	[10]	2	96
sva	[1]	[40]	1	96
pAra	[1]	[34]	1	96
sa	[1]	[24]	2	95
viviXAni	[3]	[22]	2	95
waw	[32]	[41]	1	95
mahA	[2]	[48]	1	95
iva	[1]	[46]	2	95
arWa	[1]	[48]	1	95
ixam	[41]	[48]	2	95
yasmAw	[32]	[2]	2	95
rAjA	[2]	[5]	2	95
Bavawi	[3]	[22]	2	94
hi	[3]	[42]	2	94
hi	[3]	[41]	2	94
waw	[32]	[36]	2	94
eka	[1]	[45]	1	94
vara	[1]	[34]	1	94
vAsuxevaH	[1;16]	[5]	2	94
xeva	[1]	[4]	1	94
vA	[2]	[32]	2	93
evam	[41]	[17]	2	92
BagavAn	[36]	[2]	2	92
wu	[5]	[24]	2	91
aWa	[1]	[34]	2	91
rAja	[1]	[7]	1	91
waWA	[2]	[46]	2	90
evam	[41]	[32]	2	90
eva	[1]	[10]	2	90
arWa	[1]	[17]	1	89
sva	[1]	[17]	1	89
ha	[1]	[5]	2	89
sarva	[1]	[19]	1	88
sa	[1]	[39]	2	88
pApa	[1]	[17]	1	88
jiwa	[1]	[3]	1	88
xqRtvA	[2]	[32]	2	88
vA	[2]	[41]	2	87
aWa	[1]	[41]	2	87
Bavawi	[3]	[17]	2	87
eka	[1]	[1]	1	87
waw	[32]	[2]	1	86
Pala	[1]	[37]	1	86
wawra	[1]	[36]	2	86
iva	[1]	[32]	2	86
ewaw	[32]	[37]	2	86
vE	[11]	[32]	2	86
Sawa	[1]	[48]	1	86
sva	[1]	[43]	1	85
ewaw	[32]	[45]	2	85
anye	[10]	[22]	2	85
weRAm	[41]	[32]	2	85
yaw	[32]	[45]	2	85
syAw	[32]	[48]	2	85
yaw	[32]	[17]	2	85
rAkRasa	[1]	[3]	1	85
BqwAm	[41]	[45]	2	84
ukwaH	[1;16]	[48]	2	84
wIrWe	[10]	[32]	2	84
a	[1]	[24]	1	84
brahma	[1]	[22]	1	84
ukwam	[41]	[22]	2	83
wapaH	[1;16]	[32]	2	83
iva	[1]	[22]	2	83
SruwvA	[2]	[48]	2	83
sama	[1]	[37]	1	82
waw	[32]	[19]	1	82
sarva	[1]	[32]	1	82
ewaw	[32]	[46]	2	81
wena	[1]	[1]	2	81
ye	[10]	[32]	2	81
Xarma	[1]	[17]	1	81
we	[10]	[36]	2	81
kqwvA	[2]	[37]	2	81
SruwvA	[2]	[45]	2	81
vqka	[1]	[5]	1	81
eva	[1]	[35]	2	80
wu	[5]	[35]	2	80
wawra	[1]	[42]	2	79
hi	[3]	[40]	2	79
sarva	[1]	[24]	1	79
